Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2002 [YR2002],2003 [YR2003],2004 [YR2004],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cyprus,CYP,13323.85439,23556.24012,24253.16334,25921.35166,33445.90649,33313.57915,31834.67636,30375.10632,30042.82711,31722.21621,35388.83253,37766.90166,39737.32519,41254.40459
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Czech Republic,CZE,12656.24108,18189.23435,19426.38627,20799.25127,27688.14266,28797.41796,29047.24644,30485.71415,32263.31575,33691.42424,35876.72744,38489.49631,40389.35761,42575.61148
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,18210.3067,30640.34562,30786.72547,32908.83236,43031.80733,44403.38484,44803.96824,46726.85414,47901.44736,49058.50107,51970.7498,55064.90886,57218.40645,59830.15424
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Djibouti,DJI,0,0,0,0,0,0,0,4103.955142,4289.086748,4574.474876,4692.575942,4885.220563,5337.124925,5748.081044
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominica,DMA,4299.051517,6551.441467,7070.44996,7452.326953,10017.62053,10198.54896,9945.288446,10146.34798,10910.29745,11139.94898,11949.53406,11304.35971,11805.55362,12659.34451
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominican Republic,DOM,3668.379743,7295.056532,7226.721281,7506.733761,11410.34875,11869.13398,11900.491,12482.1646,13475.01647,14740.8197,16109.85592,16735.33259,18129.70864,19182.40915
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ecuador,ECU,4829.933123,6332.185874,6513.299404,7117.171715,9090.308234,9857.521816,10311.4026,11153.6845,11713.1715,11060.28763,11034.26985,11617.90876,11834.57087,11846.78056
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Egypt,EGY,3713.489044,6139.679075,6334.571714,6648.429018,9522.510199,9686.046378,11092.74326,11221.38191,10895.94485,11512.40239,11192.37289,11014.48614,11634.54685,12250.78041
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,El Salvador,SLV,2915.88536,4672.355458,4807.717661,4956.555345,6127.039118,6465.874715,6541.166341,6877.153044,7233.190625,7597.68557,8038.625529,8454.058198,8818.877207,9139.706334
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Equatorial Guinea,GNQ,653.931747,16076.27956,17891.47579,24283.69501,32965.89959,34280.25489,37570.6354,34766.01158,33696.12641,24042.49709,20458.81227,22551.08325,20840.27477,19327.13832
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eritrea,ERI,0,1642.460552,1553.454922,1547.725867,1485.198435,1625.506156,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,0,11670.36527,13123.02805,14521.35657,21809.42391,24777.46819,26190.55295,27642.58537,29135.7044,29397.12984,31231.47115,33820.91873,36358.02776,38811.14334
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eswatini,SWZ,3518.530554,5101.4045,5378.01045,5703.511323,7771.360632,8057.541253,8266.681516,8708.795992,8796.98244,8843.699095,8762.409643,8493.901672,8809.15287,9048.178922
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ethiopia,ETH,415.0237011,520.3394291,503.9725938,571.403849,1028.324031,1134.784848,1213.596465,1283.570926,1513.703841,1657.345099,1878.812497,2021.561046,2153.149415,2311.704386
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Faroe Islands,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Fiji,FJI,4200.875082,6344.806598,6520.711363,7035.783928,7914.082517,8263.064602,8839.474989,9536.260248,11346.86721,12412.42213,12632.01356,13429.31593,14133.89333,14427.58242
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Finland,FIN,18132.6524,28605.12232,29019.77327,31173.45109,38982.53342,40916.83858,40873.09533,41493.14165,41757.40219,42509.13131,44929.90878,47481.21382,49373.18396,51323.83338
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,France,FRA,17619.20875,28523.88573,28141.91485,29034.12479,35926.90563,37440.63863,37679.12178,39523.85395,40144.02683,40860.91122,42920.26682,44826.50747,46605.18634,49435.17994
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,French Polynesia,PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
